Cp 27,Capua 28,432
Cp 28,Capua 27,430
Cp 29,Capua 26,428
Cp 30,Capua 25,426
Cp 31,Capua 22,419
Cp 32,Capua 21,417
Cp 33,Capua 24,423
Cp 34,Capua 24,423
Cp 35,Capua 17,410
Cp 36,Capua 33,441
Cp 37,Capua 34,443
Cp 38,Capua 47,468
Cp 39,Capua 49,471
Cp 40,Capua 48,470
Cp 41,Capua 45,464
Cp 42,Capua 32,439
Cp 43,Capua 30,436
Cp 44,Capua 46,467
tCp 1,Capua 52,475
tCp 2,Capua 52,475
tCp 3,Capua 52,475
tCp 4,Misread specimen of tCp 1,
nCp 1,Capua 1,384
nCp 2,Capua 2,385
Po 1,Pompei 13,637
Po 2,Pompei 12,635
Po 3,Pompei 24,656
Po 4,Pompei 21,650
Po 5,Pompei 9,631
Po 6,Pompei 8,628
Po 7,Pompei 11,634
Po 8,Pompei 19,647
Po 9,Pompei 20,648
Po 10,Pompei 25,659
Po 11,Pompei 18,645
Po 12,Pompei 42,691
Po 13,Pompei 22,652
Po 14,Pompei 23,653
Po 15,Pompei 14,640
Po 16,Pompei 16,642
Po 17,Pompei 17,644
Po 18,"Forgery: see the Introduction, p. 60, no. 22",
Po 19,Pompei 27,662
Po 20,Pompei 36,681
Po 21,Pompei 39,687
Po 22,Pompei 37,683
Po 23,Pompei 114,793
Po 24,Pompei 114,793
Po 25,Pompei 114,793
Po 26,Pompei 114,793
Po 27,Pompei 114,793
Po 28,Pompei 114,793
Po 29,Pompei 41,689
Po 30,Pompei 26,661
Po 31,Pompei 15,641
Po 32,"Described by Conway, pp. 66-7, N. vi, as ‘a small circular altar of marble whose surface had been much broken, standing in the Casa della piccola Fontana’, Reg. V1, 8, 23-24 (see Fiorelli, Pompeianarum Antiquitatum Historia II, 4 (1819-30) (1862) pp. 190-203), but found by neither Rosalba Antonini nor us. We have the gravest doubts whether the object was an altar, rather than the base of a marble basin, whether it was inscribed (Conway: 'I noticed what appeared to be the remains of letters ... but they and still more the remains of what I took to be a line beneath them were too faint to be read with certainty’), and if so whether it was inscribed in Oscan. We deliberately exclude the text, but would not be surprised if it belonged with Pompei 44 (11)",
Po 33,Pompei 97,764
Po 34,Pompei 2,617
